uri,title,doi,abstract,processed_abstract
http://orkg.org/orkg/resource/R1000,,,,
http://orkg.org/orkg/resource/R10015,MapSDI: A Scaled-up Semantic Data Integration Framework for Knowledge Graph Creation,10.1007/978-3-030-33246-4_4,,
http://orkg.org/orkg/resource/R10024,Reporting quality of travel and non-travel activities: A comparison of three different survey formats,10.1016/j.trpro.2018.10.057,,
http://orkg.org/orkg/resource/R1004,"A semi-automated, KNIME-based workflow for biofilm assays",10.1186/s12866-016-0676-9,"Background A current focus of biofilm research is the chemical interaction between microorganisms within the biofilms. Prerequisites for this research are bioassay systems which integrate reliable tools for the planning of experiments with robot-assisted measurements and with rapid data processing. Here, data structures that are both human- and machine readable may be particularly useful. Results In this report, we present several simplification and robotisation options for an assay of bacteria-induced biofilm formation by the freshwater diatom Achnanthidium minutissimum. We also tested several proof-of-concept robotisation methods for pipetting, as well as for measuring the biofilm absorbance directly in the multi-well plates. Furthermore, we exemplify the implementation of an improved data processing workflow for this assay using the Konstanz Information Miner (KNIME), a free and open source data analysis environment. The workflow integrates experiment planning files and absorbance read-out data, towards their automated processing for analysis. Conclusions Our workflow lead to a substantial reduction of the measurement and data processing workload, while still reproducing previously obtained results in the A. minutissimum biofilm assay. The methods, scripts and files we designed are described here, offering adaptable options for other medium-throughput biofilm screenings. ; published","background a current focus of biofilm research is the chemical interaction between microorganisms within the biofilms. prerequisites for this research are bioassay systems which integrate reliable tools for the planning of experiments with robot-assisted measurements and with rapid data processing. here, data structures that are both human- and machine readable may be particularly useful. results in this report, we present several simplification and robotisation options for an assay of bacteria-induced biofilm formation by the freshwater diatom achnanthidium minutissimum. we also tested several proof-of-concept robotisation methods for pipetting, as well as for measuring the biofilm absorbance directly in the multi-well plates. furthermore, we exemplify the implementation of an improved data processing workflow for this assay using the konstanz information miner (knime), a free and open source data analysis environment. the workflow integrates experiment planning files and absorbance read-out data, towards their automated processing for analysis. conclusions our workflow lead to a substantial reduction of the measurement and data processing workload, while still reproducing previously obtained results in the a. minutissimum biofilm assay. the methods, scripts and files we designed are described here, offering adaptable options for other medium-throughput biofilm screenings. ; published"
http://orkg.org/orkg/resource/R1013,Capsules of the diatomAchnanthidium minutissimumarise from fibrillar precursors and foster attachment of bacteria,10.7717/peerj.858,"Achnanthidium minutissimum is a benthic freshwater diatom that forms biofilms on submerged surfaces in aquatic environments. Within these biofilms, A. minutissimum cells produce extracellular structures which facilitate substrate adhesion, such as stalks and capsules. Both consist of extracellular polymeric substance (EPS), but the microstructure and development stages of the capsules are so far unknown, despite a number of hypotheses about their function, including attachment and protection. We coupled scanning electron microscopy (SEM) to bright-field microscopy (BFM) and found that A. minutissimum capsules mostly possess an unstructured surface. However, capsule material that was mechanically stressed by being stretched between or around cells displayed fibrillar substructures. Fibrils were also found on the frustules of non-encapsulated cells, implicating that A. minutissimum capsules may develop from fibrillar precursors. Energy-dispersive X-ray (EDX) spectroscopy revealed that the capsule material do not contain silicon, distinguishing it from the frustule material. We furthermore show that bacteria preferentially attach to capsules, instead of non-encapsulated A. minutissimum cells, which supports the idea that capsules mediate diatom-bacteria interactions.","achnanthidium minutissimum is a benthic freshwater diatom that forms biofilms on submerged surfaces in aquatic environments. within these biofilms, a. minutissimum cells produce extracellular structures which facilitate substrate adhesion, such as stalks and capsules. both consist of extracellular polymeric substance (eps), but the microstructure and development stages of the capsules are so far unknown, despite a number of hypotheses about their function, including attachment and protection. we coupled scanning electron microscopy (sem) to bright-field microscopy (bfm) and found that a. minutissimum capsules mostly possess an unstructured surface. however, capsule material that was mechanically stressed by being stretched between or around cells displayed fibrillar substructures. fibrils were also found on the frustules of non-encapsulated cells, implicating that a. minutissimum capsules may develop from fibrillar precursors. energy-dispersive x-ray (edx) spectroscopy revealed that the capsule material do not contain silicon, distinguishing it from the frustule material. we furthermore show that bacteria preferentially attach to capsules, instead of non-encapsulated a. minutissimum cells, which supports the idea that capsules mediate diatom-bacteria interactions."
http://orkg.org/orkg/resource/R1020,Open Research Knowledge Graph: Towards Machine Actionability in Scholarly Communication,,,
http://orkg.org/orkg/resource/R107613,Static analysis and optimization of semantic web queries,10.1145/2500130,,
http://orkg.org/orkg/resource/R107618,Instructional interface’s blueprint for guiding instructional-technological interactions’ research: the Big Bang shift in K-12,10.1007/s11423-020-09885-z,,
http://orkg.org/orkg/resource/R107637,Scalable Methods for Measuring the Connectivity and Quality of Large Numbers of Linked Datasets,10.1145/3165713,,
http://orkg.org/orkg/resource/R107647,LOD-a-lot: A Queryable Dump of the LOD Cloud,10.1007/978-3-319-68204-4_7,,
http://orkg.org/orkg/resource/R107655,LOD Lab: Experiments at LOD Scale,10.1007/978-3-319-25010-6_23,,
