uri,title,doi,abstract_source,abstract,processed_abstract
http://orkg.org/orkg/resource/R3000,A model for contextual data sharing in smartphone applications,10.1108/ijpcc-06-2016-0030,crossref,"<jats:sec>\n<jats:title content-type=""abstract-subheading"">Purpose</jats:title>\n<jats:p>The purpose of this paper is to introduce a model for identifying, storing and sharing contextual information across smartphone apps that uses the native device services. The authors present the idea of using user input and interaction within an app as contextual information, and how each app can identify and store contextual information.</jats:p>\n</jats:sec>\n<jats:sec>\n<jats:title content-type=""abstract-subheading"">Design/methodology/approach</jats:title>\n<jats:p>Contexts are modeled as hierarchical objects that can be stored and shared by applications using native mechanisms. A proof-of-concept implementation of the model for the Android platform demonstrates contexts modelled as hierarchical objects stored and shared by applications using native mechanisms.</jats:p>\n</jats:sec>\n<jats:sec>\n<jats:title content-type=""abstract-subheading"">Findings</jats:title>\n<jats:p>The model was found to be practically viable by implemented sample apps that share context and through a performance analysis of the system.</jats:p>\n</jats:sec>\n<jats:sec>\n<jats:title content-type=""abstract-subheading"">Practical implications</jats:title>\n<jats:p>The contextual data-sharing model enables the creation of smart apps and services without being tied to any vendor’s cloud services.</jats:p>\n</jats:sec>\n<jats:sec>\n<jats:title content-type=""abstract-subheading"">Originality/value</jats:title>\n<jats:p>This paper introduces a new approach for sharing context in smartphone applications that does not require cloud services.</jats:p>\n</jats:sec>","\n purpose \n the purpose of this paper is to introduce a model for identifying, storing and sharing contextual information across smartphone apps that uses the native device services. the authors present the idea of using user input and interaction within an app as contextual information, and how each app can identify and store contextual information. \n \n \n design/methodology/approach \n contexts are modeled as hierarchical objects that can be stored and shared by applications using native mechanisms. a proof-of-concept implementation of the model for the android platform demonstrates contexts modelled as hierarchical objects stored and shared by applications using native mechanisms. \n \n \n findings \n the model was found to be practically viable by implemented sample apps that share context and through a performance analysis of the system. \n \n \n practical implications \n the contextual data-sharing model enables the creation of smart apps and services without being tied to any vendor’s cloud services. \n \n \n originality/value \n this paper introduces a new approach for sharing context in smartphone applications that does not require cloud services. \n"
http://orkg.org/orkg/resource/R4208,You will be…: a study of job advertisements to determine employers' requirements for LIS professionals in the UK in 2007,10.1108/00242530810899595,crossref,"<jats:sec><jats:title content-type=""abstract-heading"">Purpose</jats:title><jats:p>The purpose of this paper is to investigate what employers seek when recruiting library and information professionals in the UK and whether professional skills, generic skills or personal qualities are most in demand.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Design/methodology/approach</jats:title><jats:p>A content analysis of a sample of 180 advertisements requiring a professional library or information qualification from Chartered Institute of Library and Information Professional\'s Library\u2009+\u2009Information Gazette over the period May 2006‐2007.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Findings</jats:title><jats:p>The findings reveal that a multitude of skills and qualities are required in the profession. When the results were compared with Information National Training Organisation and Library and Information Management Employability Skills research, customer service, interpersonal and communication skills, and general computing skills emerged as the requirements most frequently sought by employers. Overall, requirements from the generic skills area were most important to employers, but the research also demonstrates that professional skills are still valued. An unanticipated demand for profession related experience was found: this was the single most frequently sought requirement in the advertisements analysed.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Research limitations/implications</jats:title><jats:p>Although the Gazette is the largest source of library and information jobs, it does not provide a complete picture of the employment market.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Originality/value</jats:title><jats:p>The paper contributes to debates about the skillsbase of the profession, and raises awareness of the abilities professionals need to cultivate in order to progress through their careers.</jats:p></jats:sec>","purpose the purpose of this paper is to investigate what employers seek when recruiting library and information professionals in the uk and whether professional skills, generic skills or personal qualities are most in demand. design/methodology/approach a content analysis of a sample of 180 advertisements requiring a professional library or information qualification from chartered institute of library and information professional\'s library\u2009+\u2009information gazette over the period may 2006‐2007. findings the findings reveal that a multitude of skills and qualities are required in the profession. when the results were compared with information national training organisation and library and information management employability skills research, customer service, interpersonal and communication skills, and general computing skills emerged as the requirements most frequently sought by employers. overall, requirements from the generic skills area were most important to employers, but the research also demonstrates that professional skills are still valued. an unanticipated demand for profession related experience was found: this was the single most frequently sought requirement in the advertisements analysed. research limitations/implications although the gazette is the largest source of library and information jobs, it does not provide a complete picture of the employment market. originality/value the paper contributes to debates about the skillsbase of the profession, and raises awareness of the abilities professionals need to cultivate in order to progress through their careers."
http://orkg.org/orkg/resource/R4581,Recruiting Project Managers: A Comparative Analysis of Competencies and Recruitment Signals from Job Advertisements,10.1002/pmj.21366,crossref,"<jats:p> This research addresses the competencies organizations use through project manager job advertisements. We develop a list of project manager job competencies; break down the competency components into knowledge, skills, and abilities; and conduct a comparative analysis of the use of these competencies. We examine the online contents of project manager job advertisements in the public domain. Analysis shows that industry job advertisements emphasize “soft skills” and competencies in a manner different than that in the literature. Additionally, differences are found across countries and between industries. Implications from the findings highlight the incongruent dissemination of project manager competencies, regional and industrial demands, and the recruitment of project managers. </jats:p>","this research addresses the competencies organizations use through project manager job advertisements. we develop a list of project manager job competencies; break down the competency components into knowledge, skills, and abilities; and conduct a comparative analysis of the use of these competencies. we examine the online contents of project manager job advertisements in the public domain. analysis shows that industry job advertisements emphasize “soft skills” and competencies in a manner different than that in the literature. additionally, differences are found across countries and between industries. implications from the findings highlight the incongruent dissemination of project manager competencies, regional and industrial demands, and the recruitment of project managers."
http://orkg.org/orkg/resource/R4337,You will be…: a study of job advertisements to determine employers' requirements for LIS professionals in the UK in 2007,10.1108/00242530810899595,crossref,"<jats:sec><jats:title content-type=""abstract-heading"">Purpose</jats:title><jats:p>The purpose of this paper is to investigate what employers seek when recruiting library and information professionals in the UK and whether professional skills, generic skills or personal qualities are most in demand.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Design/methodology/approach</jats:title><jats:p>A content analysis of a sample of 180 advertisements requiring a professional library or information qualification from Chartered Institute of Library and Information Professional\'s Library\u2009+\u2009Information Gazette over the period May 2006‐2007.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Findings</jats:title><jats:p>The findings reveal that a multitude of skills and qualities are required in the profession. When the results were compared with Information National Training Organisation and Library and Information Management Employability Skills research, customer service, interpersonal and communication skills, and general computing skills emerged as the requirements most frequently sought by employers. Overall, requirements from the generic skills area were most important to employers, but the research also demonstrates that professional skills are still valued. An unanticipated demand for profession related experience was found: this was the single most frequently sought requirement in the advertisements analysed.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Research limitations/implications</jats:title><jats:p>Although the Gazette is the largest source of library and information jobs, it does not provide a complete picture of the employment market.</jats:p></jats:sec><jats:sec><jats:title content-type=""abstract-heading"">Originality/value</jats:title><jats:p>The paper contributes to debates about the skillsbase of the profession, and raises awareness of the abilities professionals need to cultivate in order to progress through their careers.</jats:p></jats:sec>","purpose the purpose of this paper is to investigate what employers seek when recruiting library and information professionals in the uk and whether professional skills, generic skills or personal qualities are most in demand. design/methodology/approach a content analysis of a sample of 180 advertisements requiring a professional library or information qualification from chartered institute of library and information professional\'s library\u2009+\u2009information gazette over the period may 2006‐2007. findings the findings reveal that a multitude of skills and qualities are required in the profession. when the results were compared with information national training organisation and library and information management employability skills research, customer service, interpersonal and communication skills, and general computing skills emerged as the requirements most frequently sought by employers. overall, requirements from the generic skills area were most important to employers, but the research also demonstrates that professional skills are still valued. an unanticipated demand for profession related experience was found: this was the single most frequently sought requirement in the advertisements analysed. research limitations/implications although the gazette is the largest source of library and information jobs, it does not provide a complete picture of the employment market. originality/value the paper contributes to debates about the skillsbase of the profession, and raises awareness of the abilities professionals need to cultivate in order to progress through their careers."
http://orkg.org/orkg/resource/R4415,Changing patterns in IT skill sets 1988-2003,10.1145/1017114.1017121,crossref,"<jats:p>This paper examines trends in required job skills for IT professionals. Through an empirical study of classified job advertising for IT professionals over the past 17 years, we evaluate whether the observed trends support earlier predictions offered by researchers who sought to anticipate future job and skill demands (Leitheiser 1992; Trauth, Farwell, &amp; Lee 1993). Many of the findings are consistent with previous studies and support the notion that employers are seeking an ever-increasing number and variety of skill sets from the new hires. In addition, we found ongoing evidence of a recruitment gap (Todd, McKeen &amp; Gallupe 1995) where, despite many firms\' stated emphasis on well-rounded individuals with business knowledge and strong ""soft skills,"" the job advertising aspect of the recruiting process continues to focus on ""hard skills"". The changing demand patterns for IT professionals necessitate life-long learning skills not only for IT practitioners but also for the academics who teach them.</jats:p>","this paper examines trends in required job skills for it professionals. through an empirical study of classified job advertising for it professionals over the past 17 years, we evaluate whether the observed trends support earlier predictions offered by researchers who sought to anticipate future job and skill demands (leitheiser 1992; trauth, farwell, &amp; lee 1993). many of the findings are consistent with previous studies and support the notion that employers are seeking an ever-increasing number and variety of skill sets from the new hires. in addition, we found ongoing evidence of a recruitment gap (todd, mckeen &amp; gallupe 1995) where, despite many firms\' stated emphasis on well-rounded individuals with business knowledge and strong ""soft skills,"" the job advertising aspect of the recruiting process continues to focus on ""hard skills"". the changing demand patterns for it professionals necessitate life-long learning skills not only for it practitioners but also for the academics who teach them."
http://orkg.org/orkg/resource/R4534,Knowledge and Skill Requirements for Marketing Jobs in the 21st Century,10.1177/0273475310380881,crossref,"<jats:p> This study examines the skills and conceptual knowledge that employers require for marketing positions at different levels ranging from entry- or lower-level jobs to middle- and senior-level positions. The data for this research are based on a content analysis of 500 marketing jobs posted on Monster.com for Atlanta, Chicago, Los Angeles, New York City, and Seattle. There were notable differences between the skills and conceptual knowledge required for entry-, lower-, middle-, and upper-level marketing jobs. Technical skills appear to be much more important at all levels than what was documented in earlier research. This study discusses the implications of these research findings for the professional school pedagogical model of marketing education. </jats:p>","this study examines the skills and conceptual knowledge that employers require for marketing positions at different levels ranging from entry- or lower-level jobs to middle- and senior-level positions. the data for this research are based on a content analysis of 500 marketing jobs posted on monster.com for atlanta, chicago, los angeles, new york city, and seattle. there were notable differences between the skills and conceptual knowledge required for entry-, lower-, middle-, and upper-level marketing jobs. technical skills appear to be much more important at all levels than what was documented in earlier research. this study discusses the implications of these research findings for the professional school pedagogical model of marketing education."
http://orkg.org/orkg/resource/R4634,SKILL: A System for Skill Identification and Normalization,,crossref,"<jats:p>Named Entity Recognition (NER) and Named Entity Normalization (NEN) refer to the recognition and normalization of raw texts to known entities. From the perspective of recruitment innovation, professional skill characterization and normalization render human capital data more meaningful both commercially and socially. Accurate and detailed normalization of skills is the key for the predictive analysis of labor market dynamics. Such analytics help bridge the skills gap between employers and candidate workers by matching the right talent for the right job and identifying in-demand skills for workforce training programs. This can also work towards the social goal of providing more job opportunities to the community. In this paper we propose an automated approach for skill entity recognition and optimal normalization. The proposed system has two components: 1) Skills taxonomy generation, which employs vocational skill related sections of resumes and Wikipedia categories to define and develop a taxonomy of professional skills; 2) Skills tagging, which leverages properties of semantic word vectors to recognize and normalize relevant skills in input text. By sampling based end-user evaluation, the current system attains 91% accuracy on the taxonomy generation and 82% accuracy on the skills tagging tasks. The beta version of the system is currently applied in various big data and business intelligence applications for workforce analytics and career track projections at CareerBuilder.</jats:p>","named entity recognition (ner) and named entity normalization (nen) refer to the recognition and normalization of raw texts to known entities. from the perspective of recruitment innovation, professional skill characterization and normalization render human capital data more meaningful both commercially and socially. accurate and detailed normalization of skills is the key for the predictive analysis of labor market dynamics. such analytics help bridge the skills gap between employers and candidate workers by matching the right talent for the right job and identifying in-demand skills for workforce training programs. this can also work towards the social goal of providing more job opportunities to the community. in this paper we propose an automated approach for skill entity recognition and optimal normalization. the proposed system has two components: 1) skills taxonomy generation, which employs vocational skill related sections of resumes and wikipedia categories to define and develop a taxonomy of professional skills; 2) skills tagging, which leverages properties of semantic word vectors to recognize and normalize relevant skills in input text. by sampling based end-user evaluation, the current system attains 91% accuracy on the taxonomy generation and 82% accuracy on the skills tagging tasks. the beta version of the system is currently applied in various big data and business intelligence applications for workforce analytics and career track projections at careerbuilder."
http://orkg.org/orkg/resource/R4603,Skill Needs for Early Career Researchers—A Text Mining Approach,10.3390/su11102789,crossref,"<jats:p>Research and development activities are one of the main drivers for progress, economic growth and wellbeing in many societies. This article proposes a text mining approach applied to a large amount of data extracted from job vacancies advertisements, aiming to shed light on the main skills and demands that characterize first stage research positions in Europe. Results show that data handling and processing skills are essential for early career researchers, irrespective of their research field. Also, as many analyzed first stage research positions are connected to universities, they include teaching activities to a great extent. Management of time, risks, projects, and resources plays an important part in the job requirements included in the analyzed advertisements. Such information is relevant not only for early career researchers who perform job selection taking into account the match of possessed skills with the required ones, but also for educational institutions that are responsible for skills development of the future R&amp;D professionals.</jats:p>","research and development activities are one of the main drivers for progress, economic growth and wellbeing in many societies. this article proposes a text mining approach applied to a large amount of data extracted from job vacancies advertisements, aiming to shed light on the main skills and demands that characterize first stage research positions in europe. results show that data handling and processing skills are essential for early career researchers, irrespective of their research field. also, as many analyzed first stage research positions are connected to universities, they include teaching activities to a great extent. management of time, risks, projects, and resources plays an important part in the job requirements included in the analyzed advertisements. such information is relevant not only for early career researchers who perform job selection taking into account the match of possessed skills with the required ones, but also for educational institutions that are responsible for skills development of the future r&amp;d professionals."
http://orkg.org/orkg/resource/R4796,The hierarchy-of-hypotheses approach: A synthesis method for enhancing theory development in ecology and evolution,10.32942/osf.io/6a85f,crossref,"<p>In the current era of Big Data, existing synthesis tools (e.g. formal meta-analysis) are useful for handling the deluge of data and information. However, there is a need for complementary tools that help to (i) structure data and information, (ii) closely connect evidence to theory and (iii) further develop theory. We present the hierarchy-of-hypotheses (HoH) approach to address these issues. In an HoH, hypotheses are conceptually and visually structured in a hierarchically nested way, where the lower branches can be directly connected to empirical results. Used as an evidence-driven, bottom-up approach, it can (i) show connections between empirical results, even when derived through diverse approaches; and (ii) indicate under which circumstances hypotheses are applicable. Used as a theory-driven, top-down method, it helps uncover mechanistic components of hypotheses. We offer guidance on how to build an HoH, provide examples from population and evolutionary biology and propose terminological clarifications.</p>","in the current era of big data, existing synthesis tools (e.g. formal meta-analysis) are useful for handling the deluge of data and information. however, there is a need for complementary tools that help to (i) structure data and information, (ii) closely connect evidence to theory and (iii) further develop theory. we present the hierarchy-of-hypotheses (hoh) approach to address these issues. in an hoh, hypotheses are conceptually and visually structured in a hierarchically nested way, where the lower branches can be directly connected to empirical results. used as an evidence-driven, bottom-up approach, it can (i) show connections between empirical results, even when derived through diverse approaches; and (ii) indicate under which circumstances hypotheses are applicable. used as a theory-driven, top-down method, it helps uncover mechanistic components of hypotheses. we offer guidance on how to build an hoh, provide examples from population and evolutionary biology and propose terminological clarifications."
http://orkg.org/orkg/resource/R4857,How are topics born? Understanding the research dynamics preceding the emergence of new areas,10.7717/peerj-cs.119,crossref,"<jats:p>The ability to promptly recognise new research trends is strategic for many stakeholders, including universities, institutional funding bodies, academic publishers and companies. While the literature describes several approaches which aim to identify the emergence of new research topics early in their lifecycle, these rely on the assumption that the topic in question is already associated with a number of publications and consistently referred to by a community of researchers. Hence, detecting the emergence of a new research area at an <jats:italic>embryonic stage</jats:italic>, i.e., before the topic has been consistently labelled by a community of researchers and associated with a number of publications, is still an open challenge. In this paper, we begin to address this challenge by performing a study of the dynamics preceding the creation of new topics. This study indicates that the emergence of a new topic is anticipated by a significant increase in the pace of collaboration between relevant research areas, which can be seen as the ‘parents’ of the new topic. These initial findings (i) confirm our hypothesis that it is possible in principle to detect the emergence of a new topic at the embryonic stage, (ii) provide new empirical evidence supporting relevant theories in Philosophy of Science, and also (iii) suggest that new topics tend to emerge in an environment in which weakly interconnected research areas begin to cross-fertilise.</jats:p>","the ability to promptly recognise new research trends is strategic for many stakeholders, including universities, institutional funding bodies, academic publishers and companies. while the literature describes several approaches which aim to identify the emergence of new research topics early in their lifecycle, these rely on the assumption that the topic in question is already associated with a number of publications and consistently referred to by a community of researchers. hence, detecting the emergence of a new research area at an embryonic stage , i.e., before the topic has been consistently labelled by a community of researchers and associated with a number of publications, is still an open challenge. in this paper, we begin to address this challenge by performing a study of the dynamics preceding the creation of new topics. this study indicates that the emergence of a new topic is anticipated by a significant increase in the pace of collaboration between relevant research areas, which can be seen as the ‘parents’ of the new topic. these initial findings (i) confirm our hypothesis that it is possible in principle to detect the emergence of a new topic at the embryonic stage, (ii) provide new empirical evidence supporting relevant theories in philosophy of science, and also (iii) suggest that new topics tend to emerge in an environment in which weakly interconnected research areas begin to cross-fertilise."
